127.0.0.1 - - [04/Jan/2018:14:17:01 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:02 -0700] "GET /MVCProject/ HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:02 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:02 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:02 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:02 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:02 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:51 -0700] "GET /MVCProject/ HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:51 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:51 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:51 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:51 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:51 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:57 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
